car,engine,factor
small,diesel,0.13989414
small,petrol,0.14652
small,hybrid,0.10332
small,lpg,0.14652
small,pluginhybrid,0.05255
small,electric,0.04416
small,dontknow,0.1444
medium,diesel,0.16800414
medium,petrol,0.1847
medium,hybrid,0.10999
medium,lpg,0.17823
medium,pluginhybrid,0.08597
medium,electric,0.04878
medium,dontknow,0.17588
large,diesel,0.20953414
large,petrol,0.27639
large,hybrid,0.15491
large,lpg,0.2668
large,pluginhybrid,0.10148
large,electric,0.0555
large,dontknow,0.22733
minivan,diesel,0.17513
minivan,petrol,0.20461
minivan,hybrid,0.15491
minivan,lpg,0.25924
minivan,pluginhybrid,0.10148
minivan,electric,0.0555
minivan,dontknow,0.23099
dontknow,diesel,0.17082414
dontknow,petrol,0.17048
dontknow,hybrid,0.12004
dontknow,lpg,0.19775
dontknow,pluginhybrid,0.09349
dontknow,electric,0.0514
dontknow,dontknow,0.17067
